filename	event_labels
--PJHxphWEs_30.000_40.000.wav	"/m/09x0r,/t/dd00088"
--ZhevVpy1s_50.000_60.000.wav	"/m/012xff"
--aE2O5G5WE_0.000_10.000.wav	"/m/03fwl,/m/04rlf,/m/09x0r"
--aO5cdqSAg_30.000_40.000.wav	"/t/dd00003,/t/dd00005"
--aaILOrkII_200.000_210.000.wav	"/m/032s66,/m/073cg4"
--cB2ZVjpnA_30.000_40.000.wav	"/m/01y3hg"
--ekDLDTUXA_30.000_40.000.wav	"/m/015lz1,/m/07pws3f"
-0DLPzsiXXE_30.000_40.000.wav	"/m/04rlf,/m/07qwdck"
-0DdlOuIFUI_50.000_60.000.wav	"/m/0130jx,/m/02jz0l,/m/0838f"
-0FHUc78Gqo_30.000_40.000.wav	"/m/02w4v,/m/04rlf"
-0O3e95y4gE_100.000_110.000.wav	"/m/07r4wb8,/t/dd00125"
-0SdAVK79lg_30.000_40.000.wav	"/m/0155w,/m/01lyv,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y,/m/0gg8l"
-0Vl4HyWRk8_410.000_420.000.wav	"/m/085jw,/m/0l14l2"
-0mG4W5Hlq8_270.000_280.000.wav	"/m/04rlf,/m/05fw6t,/m/07r4k75,/m/09x0r,/m/0ytgt"
-0mjrMposBM_80.000_90.000.wav	"/m/04zmvq"
-11LhdJgBb8_30.000_40.000.wav	"/m/04rlf,/m/07qn4z3"
-1LrH01Ei1w_30.000_40.000.wav	"/m/02p0sh1,/m/04rlf"
-1TLtjPtnms_10.000_20.000.wav	"/m/03lty,/m/04rlf,/m/07szfh9"
-1iKLvsRBbE_80.000_90.000.wav	"/m/015lz1,/m/07pws3f"
-24dqQM_rDk_30.000_40.000.wav	"/m/04rlf,/t/dd00003"
-275_wTLm-4_7.000_17.000.wav	"/m/07q6cd_"
-28U1_qW0sU_30.000_40.000.wav	"/m/07qwdck"
-2PDE7hUArE_30.000_40.000.wav	"/m/02mk9,/m/07pb8fc,/t/dd00066"
-2X03mO3T_U_30.000_40.000.wav	"/m/04k94,/m/0dv3j"
-2hQKCE-oTI_30.000_40.000.wav	"/m/07pbtc8"
-30H9V1IKps_6.000_16.000.wav	"/m/07yv9,/m/09x0r,/m/0gvgw0"
-38Qgsbh7NQ_100.000_110.000.wav	"/m/013y1f,/m/03xq_f"
-3HYdaJyF4U_30.000_40.000.wav	"/m/04rlf,/m/06rqw"
-3IGxVTJvgI_30.000_40.000.wav	"/m/06bz3,/m/09x0r"
-3IYpJfLVJk_30.000_40.000.wav	"/m/03k3r,/m/07q5rw0,/m/0jbk"
-3hKkjKmIGE_30.000_40.000.wav	"/m/019jd,/m/06q74"
-3pPrlCm6gg_30.000_40.000.wav	"/m/01wy6"
-4NLarMj4xU_30.000_40.000.wav	"/m/04rlf,/t/dd00034"
-4RWqM0UCCY_0.000_10.000.wav	"/m/012n7d,/m/02mfyn,/m/03j1ly,/m/03kmc9"
-4hZyOdm7EI_200.000_210.000.wav	"/m/015lz1,/m/015vgc"
-4xJv59_zcA_30.000_40.000.wav	"/m/07pl1bw,/m/083vt"
-5-vmt2iKT0_30.000_40.000.wav	"/m/02zsn,/m/09x0r"
-5DdYkYOjy0_30.000_40.000.wav	"/m/06h7j"
-5GhUbDLYkQ_16.000_26.000.wav	"/m/0130jx,/m/02jz0l,/m/0838f"
-5Jlimvsuwo_90.000_100.000.wav	"/m/011k_j,/m/04rlf"
-5Kk-m7BmiE_21.000_31.000.wav	"/m/07pyf11,/m/07qmpdm"
-5S70zOSw30_30.000_40.000.wav	"/m/030rvx,/m/07pzfmf,/m/09x0r"
-5f6hjZf9Yw_30.000_40.000.wav	"/m/02w4v,/m/04rlf"
-5xOcMJpTUk_70.000_80.000.wav	"/m/018vs,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/09x0r,/m/0fx80y"
-60XojQWWoc_30.000_40.000.wav	"/m/02rhddq,/m/07r04,/m/07yv9"
-64xnyOswXA_120.000_130.000.wav	"/m/0cdnk"
-693sNKI3iM_30.000_40.000.wav	"/m/015lz1,/m/01swy6,/m/04rlf"
-6QGvxvaTkI_280.000_290.000.wav	"/m/01p970,/m/026t6,/m/0l14md"
-6RN8skIHU4_20.000_30.000.wav	"/m/09x0r,/m/0dv5r,/t/dd00125"
-6fxJZ7CW00_30.000_40.000.wav	"/m/07pjjrj"
-6gC_nlUBfA_60.000_70.000.wav	"/m/02y_763,/m/09x0r"
-6krAYK2LLo_30.000_40.000.wav	"/m/04rlf,/m/06j64v,/m/0l14gg"
-6pcgdLfb_A_110.000_120.000.wav	"/m/04rlf,/t/dd00035"
-6sgMgtW91g_20.000_30.000.wav	"/m/04rlf,/m/05rj2,/m/09x0r"
-6x2PtSRfJU_30.000_40.000.wav	"/m/01yrx,/m/068hy,/m/07qrkrw,/m/09x0r"
-70MzkgSsHQ_30.000_40.000.wav	"/m/04rlf,/m/04rzd"
-70wVF5u-gg_30.000_40.000.wav	"/m/07pn_8q"
-75IwDlkzDQ_30.000_40.000.wav	"/m/01h82_,/m/02mk9"
-76P3VHPuus_10.000_20.000.wav	"/m/01jg1z"
-7J4109yM7w_30.000_40.000.wav	"/m/02mk9,/m/07yv9,/t/dd00130"
-7QVE8o9uk4_30.000_40.000.wav	"/m/01yg9g,/m/04rlf,/m/07yv9"
